Name,Type,Role,Country,Description,Supporting_Text
"Conservation International","NGO","Forms partnerships with corporations and governments to embed conservation into business models.","United States","A US‑based conservation organisation founded in 1987.","The US-based group Conservation International (est. 1987) partnered with other organisations from the beginning, reasoning that no organisation can get the job done alone."
"Forum for the Future","NGO","Promotes sustainable development through partnerships with major corporations.","None","A sustainability‑focused organisation established in 1996.","Forum for the Future (est. 1996) promotes its work on sustainable development through partnerships with organisations such as BT, Tesco and Unilever."
"Starbucks","Organization","Partnered with Conservation International to integrate conservation into its business model.","None","A global coffeehouse chain.","It has worked with Starbucks and Walmart, among others, to 'make conservation part of their business model'."
"Walmart","Organization","Partnered with Conservation International to integrate conservation into its business model.","None","A multinational retail corporation.","It has worked with Starbucks and Walmart, among others, to 'make conservation part of their business model'."
"BT","Organization","Partnered with Forum for the Future to support sustainable development initiatives.","None","British Telecommunications, a major UK communications company.","Forum for the Future (est. 1996) promotes its work on sustainable development through partnerships with organisations such as BT, Tesco and Unilever."
"Tesco","Organization","Announced labeling 70,000 products with carbon‑footprint details and pledged to cut store emissions by 75 %.","United Kingdom","A large UK supermarket chain. British supermarket chain.","Britain's leading businesses responded to a resurging green trend, with the supermarket chain Tesco announcing it would be labelling 70,000 products with details of its carbon footprint, and that it would cut carbon emissions from its stores by 75 per cent."
"Unilever","Organization","Partnered with Forum for the Future to support sustainable development initiatives.","None","A multinational consumer goods company.","Forum for the Future (est. 1996) promotes its work on sustainable development through partnerships with organisations such as BT, Tesco and Unilever."
"WWF","Organization","Works in partnership with companies to secure funding for conservation projects and advance its environmental objectives.","None","World Wide Fund for Nature, a large international conservation NGO with substantial membership.","WWF has managed to sustain large membership levels and to work in partnership with a wide range of companies."
"WWF International","Organization","Joined a five‑year, £35 million partnership with Earthwatch, Botanic Gardens Conservation International and HSBC bank.","None","The global coordinating body of WWF, overseeing international partnerships and programmes.","In 2002, WWF International, together with Earthwatch and Botanic Gardens Conservation International, joined the HSBC bank in a five-year, £35 million partnership."
"Earthwatch","Organization","Partnered with WWF International and Botanic Gardens Conservation International in the HSBC funding agreement.","None","International environmental NGO that supports scientific research and conservation projects.","In 2002, WWF International, together with Earthwatch and Botanic Gardens Conservation International, joined the HSBC bank in a five-year, £35 million partnership."
"Botanic Gardens Conservation International","Organization","Partnered with WWF International and Earthwatch in the HSBC funding agreement.","None","Global network of botanic gardens dedicated to plant conservation.","In 2002, WWF International, together with Earthwatch and Botanic Gardens Conservation International, joined the HSBC bank in a five-year, £35 million partnership."
"HSBC bank","Organization","Provided a £35 million partnership fund for WWF‑led conservation projects along major rivers.","UK","Multinational banking and financial services organization headquartered in the United Kingdom.","In 2002, WWF International, together with Earthwatch and Botanic Gardens Conservation International, joined the HSBC bank in a five-year, £35 million partnership."
"Nature Conservancy","NGO","Provided institutional support and a research platform that allowed Moore to prioritize pesticide research.","United States","International conservation organization that designs and implements nature‑based projects. International conservation organization that established a research station on toxic chemicals and wildlife i...","the head of the Nature Conservancy's newly established Toxic Chemicals and Wildlife research station at Monks Wood in the UK"
"Pacificorp","Organization","Corporate partner in the Noel Kempff Climate Action Project.","None","U.S. electric utility company (now part of PacifiCorp).","...the Noel Kampff Climate Action Project, a protected forest area set up in 1997 by the Nature Conservancy, BP, Pacificorp, American Electric Power and the Bolivian Government."
"American Electric Power","Organization","Corporate partner in the Noel Kempff Climate Action Project.","None","U.S. electric utility corporation.","...the Noel Kampff Climate Action Project, a protected forest area set up in 1997 by the Nature Conservancy, BP, Pacificorp, American Electric Power and the Bolivian Government."
"Bolivian Government","Government","Public sector partner in establishing the Noel Kempff Climate Action Project.","Bolivia","National government of Bolivia.","...the Noel Kampff Climate Action Project, a protected forest area set up in 1997 by the Nature Conservancy, BP, Pacificorp, American Electric Power and the Bolivian Government."
"Wise Use Movement","Coalition","Organised opposition to environmental causes as part of the broader counter‑movement.","USA","U.S. based counter‑environmental movement advocating for expanded resource use and deregulation.","The counter-movement has taken many forms, including the Wise Use Movement and the Global Climate Coalition..."
"Global Climate Coalition","Coalition","Actively challenged the scientific certainty presented in IPCC reports and sought to influence policy and public opinion against climate mitigation measures.","United States","An American industrial grouping formed shortly after the IPCC, representing business interests opposed to strong climate action. Industry‑led international coalition that historically opposed climate‑...","For much of the 1990s, the Global Climate Coalition, an American industrial grouping formed shortly after the IPCC, challenged the levels of scientific certainty set out in IPCC publications."
"Committee on Climate Change","Organization","Provides expert advice to the government on emissions‑reduction targets and related policies.","UK","Independent statutory body that advises the UK government on climate‑change policy.","The Act ... resulted in the independent Committee on Climate Change being established to provide advice to government on these targets and related policies."
"Thom Yorke","Individual","Launched The Big Ask campaign in 2005, helping to raise public awareness and pressure on climate legislation.","UK","Lead singer of the British rock band Radiohead and public figure.","Thom Yorke (b. 1968), lead singer of the music group Radiohead, launched The Big Ask campaign on 25 May 2005."
"Stop Climate Chaos coalition","Coalition","Ran the I Count campaign and organised a London rally urging the government to introduce a climate‑change bill.","UK","UK‑based alliance of environmental and international development NGOs.","FoE also joined a climate change coalition of mainly environmental and international development NGOs. The Stop Climate Chaos coalition ran the I Count campaign and organised a climate change rally in London..."
"Campaign for Better Transport","NGO","Joined a wide coalition of campaign groups to oppose the proposed third runway at London Heathrow airport.","United Kingdom","A UK‑based campaign group that advocates for sustainable transport policies.","a wide coalition of campaign groups, including Campaign for Better Transport, Climate Camp, FoE, National Trust, Greenpeace, Society for the Protection of Ancient Buildings, and Plane Stupid, worked together to make the proposal for a third runway at London Heathrow airport politically unpalatable."
"Climate Camp","NGO","Participated in the coalition that made the Heathrow third‑runway proposal politically unpalatable.","United Kingdom","A grassroots activist network focused on climate justice and direct action.","a wide coalition of campaign groups, including Campaign for Better Transport, Climate Camp, FoE, National Trust, Greenpeace, Society for the Protection of Ancient Buildings, and Plane Stupid, worked together to make the proposal for a third runway at London Heathrow airport politically unpalatable."
"Society for the Protection of Ancient Buildings (SPAB)","NGO","Joined the coalition that made the Heathrow third‑runway proposal politically unpalatable.","United Kingdom","UK charity dedicated to the preservation of historic buildings.","a wide coalition of campaign groups, including Campaign for Better Transport, Climate Camp, FoE, National Trust, Greenpeace, Society for the Protection of Ancient Buildings, and Plane Stupid, worked together to make the proposal for a third runway at London Heathrow airport politically unpalatable."
"Plane Stupid","NGO","Member of the coalition that opposed the Heathrow third runway.","United Kingdom","UK activist group focused on opposing airport expansion and aviation‑related climate impacts.","a wide coalition of campaign groups, including Campaign for Better Transport, Climate Camp, FoE, National Trust, Greenpeace, Society for the Protection of Ancient Buildings, and Plane Stupid, worked together to make the proposal for a third runway at London Heathrow airport politically unpalatable."
"Conservative and Liberal Democrat coalition government","Government","Cancelled plans for the third runway at Heathrow and ruled out new runways at Stansted and Gatwick.","United Kingdom","The UK government formed after the 2010 general election, comprising Conservative and Liberal Democrat parties.","In May 2010, the newly elected Conservative and Liberal Democrat coalition government cancelled plans for the third runway at Heathrow and ruled out new runways at Stansted and Gatwick airports."
"Coalition Against Runway 2 (CAR2)","Coalition","Organised an unsuccessful campaign to block the Manchester second‑runway project.","United Kingdom","A campaign coalition that sought to stop the construction of a second runway at Manchester Airport in 1997.","This compares with the unsuccessful campaign Coalition Against Runway 2 (CAR2) to stop the construction of a second runway at Manchester's International Airport in 1997."
"Obama Administration","Government","Introduced the American Power Act, a Climate Change Bill aiming to reduce U.S. carbon emissions.","United States","The executive branch of the United States government under President Barack Obama (2009‑2017).","In May 2010, the Obama Administration introduced a long-awaited Climate Change Bill, the American Power Act, which sought to reduce carbon emissions by 17 per cent by 2020 compared with 2005 levels."
"U.S. Senate","Government","Postponed advancement of the Climate Change Bill due to opposition from Republican and some Democratic lawmakers.","United States","The upper chamber of the United States Congress.","In July 2010, the US Senate announced that it was postponing the advancement of the Climate Change Bill due to wide opposition among Republican lawmakers and some Democrats."
"Transition Towns movement","Coalition","Provides a community‑led response to climate change and peak oil across more than 250 towns and cities.","United Kingdom (global network)","A global network of community‑led initiatives that aim to increase resilience to peak oil and climate change.","In the UK, the Transition Towns movement has provided a community-led response to climate change and peak oil."
"Interfaith Power and Light network","NGO","Provides a religious response to climate change in the United States.","United States","A U.S. faith‑based network that mobilises religious communities around climate action.","In the USA, the Interfaith Power and Light network has provided a religious response to climate change."
"MoveOn network","NGO","Prioritises energy and environmental issues in its campaigning and has helped pioneer internet‑based climate advocacy.","United States","Progressive online activist organization with millions of members in the United States.","The progressive MoveOn network has approximately 3 million members across the USA, and since 2003 has consistently made energy and environmental issues a campaign priority."
"Avaaz","NGO","Runs worldwide climate‑change campaigns using a model pioneered by MoveOn.","International","A web‑based global campaign platform that mobilises millions of members on a wide range of issues.","Avaaz, a web-based campaign community, uses the model pioneered by MoveOn."
"350","NGO","Organised the largest international climate‑change campaign in 2009, coordinating a global day of action in 181 countries.","International","An international climate‑action campaign (often styled as 350.org) focused on keeping atmospheric CO₂ below 350 ppm.","In 2009, the campaign group 350 organised the single largest international campaign on climate change. The campaign focused on achieving 350 parts per million of carbon dioxide, ... Through the internet and other media channels, the 350 campaign organised a global day of action."
"United Nations","Organization","Acts as the facilitator of global environmental conferences and agreements, promoting action and shaping relationships among member states.","International","International organization that facilitates global conferences and agreements on the environment.","Since the UNCHE, the UN has acted as the facilitator of global conferences and agreements on the environment."
"United States of America","Government","Exerted a decade of dominance that shaped the outcomes of a series of global environmental conferences and agreements.","USA","The United States, a major global power whose dominance shaped environmental negotiations after the Cold War. The federal government of the United States.","After the Cold War, a decade of US dominance shaped the outcomes of a series of global environmental conferences and agreements."
"Brazil","Government","Part of the new world order whose rise creates uncertainty for the future direction of global environmental governance.","Brazil","Emerging world power experiencing rapid industrialisation, influencing global environmental governance. Federal government of the Federative Republic of Brazil. Federative Republic of Brazil, a large ...","As Brazil, China and India become world powers and experience rapid industrialisation, the future direction of global environmental governance is uncertain."
"China","Government","Part of the new world order whose rise creates uncertainty for the future direction of global environmental governance.","China","Emerging world power experiencing rapid industrialisation, influencing global environmental governance. People's Republic of China, the world's largest current emitter of CO₂ and a rapidly developing ...","As Brazil, China and India become world powers and experience rapid industrialisation, the future direction of global environmental governance is uncertain."
"India","Government","Part of the new world order whose rise creates uncertainty for the future direction of global environmental governance.","India","Emerging world power experiencing rapid industrialisation, influencing global environmental governance. Government of the Republic of India. Republic of India, a fast‑growing economy and major emitter...","As Brazil, China and India become world powers and experience rapid industrialisation, the future direction of global environmental governance is uncertain."
"Harry S. Truman","Individual","Proposed a 1948 conference to consider conserving natural resources as a major basis for peace, initiating early UN environmental action.","United States","President of the United States (1884‑1972). President of the United States (1945‑1953).","in 1948 US President Harry S. Truman (1884-1972) proposed a conference to consider the importance of conserving natural resources as a 'major basis for peace'."
"UN Economic and Social Council (ECOSOC)","Organization","Acted on Truman’s proposal and helped organise the 1949 UN Scientific Conference on the Conservation and Utilization of Resources (UNSCCUR).","International","Principal organ of the United Nations for coordinating economic, social and related work of the UN system.","This proposal was acted on by the UN Economic and Social Council, and in 1949 the UN Scientific Conference on the Conservation and Utilization of Resources (UNSCCUR) was held at Lake Success in New York."
"Soviet Union","Government","Boycotted the 1949 UNSCCUR conference, illustrating geopolitical tensions in early environmental governance.","Soviet Union","A former federal socialist state comprising Russia and other republics, existing until 1991. State entity representing the USSR during the early Cold War period.","The Soviet Union boycotted the conference, which did not have the power to make recommendations or reach international agreements..."
"Chile","Government","Led developing nations in securing the 1962 UN Declaration on Permanent Sovereignty over Natural Resources.","Chile","South American nation that led a coalition of developing countries in the early 1960s.","In 1962 developing nations, led by Chile, secured a UN Declaration on Permanent Sovereignty over Natural Resources."
"G77/China grouping","Coalition","Formally established in the late 1960s to harmonise negotiating priorities of developing countries on environment‑development links.","International","A coalition of developing countries (originally 77, later expanded) plus China, formed within the UN system.","By the late 1960s, a G77/China grouping was formally established to harmonise the negotiating priorities of developing countries."
"UNESCO","Organization","Organised the 1968 Biosphere Conference in Paris, which highlighted the scientific basis for rational use and conservation of the biosphere.","International","United Nations Educational, Scientific and Cultural Organization.","The first major signs of this new environmental focus were displayed at the 1968 Biosphere Conference held in Paris. This UNESCO-organised conference examined the scientific basis for rational use and conservation of the resources of the biosphere..."
"U Thant","Individual","Authored the 1969 report “Problems of the Human Environment,” calling for urgent action on air and water pollution, soil erosion and resource waste.","International","Secretary‑General of the United Nations (1909‑1974).","and these were outlined in a report published the following year by UN Secretary General Thant (1909-74). The report, entitled Problems of the Human Environment (1969), suggested the world had a decade to seriously address air and water pollution, soil erosion and the waste of natural resources..."
"Sweden","Government","First proposed the idea of a global conference on the human environment to the UN General Assembly in 1967.","Sweden","National government of Sweden. Nordic country recognised for its neutral and progressive foreign policy.","The idea of convening a global conference on the human environment was first proposed by Sweden, which was respected internationally as a neutral and progressive country..."
"Börje Billner","Individual","Put forward the proposal to the UN General Assembly for a conference on the human environment, leading to the Stockholm conference.","Sweden","Swedish Deputy Permanent Secretary in 1967.","On 13 December 1967, the Swedish Deputy Permanent Secretary, Börje Billner, put forward the idea to the UN General Assembly that a conference be held to facilitate coordination and to focus the interest of member countries on extremely complex problems related to the human environment."
"UN General Assembly","Organization","Adopted the resolution convening the UN Conference on the Human Environment (Stockholm 1972) and endorsed the Swedish proposal.","International","Main deliberative organ of the United Nations. Main deliberative, policymaking and representative organ of the United Nations.","At its twenty-third session in December 1968, the UN General Assembly supported the Swedish proposal and agreed it would take place in Stockholm. The General Assembly adopted resolution 2398 (XXIII) convening the UNCHE..."
"Gro Harlem Brundtland","Individual","Led the WCED that authored the Brundtland Report, defining sustainable development and linking environmental protection with economic and social goals.","Norway","Norwegian Prime Minister who chaired the World Commission on Environment and Development.","The Norwegian Prime Minister, Gro Harlem Brundtland (b. 1939), chaired the Commission"
"World Commission on Environment and Development (WCED)","Organization","Authored the seminal Brundtland Report (Our Common Future) that introduced and popularised the concept of sustainable development.","None","A UN‑established commission tasked with examining the relationship between environment and development.","the UN General Assembly passed Resolution 38/161, establishing the World Commission on Environment and Development (WCED)."
"United Nations General Assembly","Organization","Adopted Resolution 38/161 in 1983, formally creating the WCED to address sustainable development.","None","The main deliberative body of the United Nations composed of all member states.","the UN General Assembly passed Resolution 38/161, establishing the World Commission on Environment and Development (WCED)."
"United States of America (USA)","Government","Frequently marginalised the UN in international negotiations, influencing the policy environment in which environmental governance evolved.","USA","Federal government of the United States, a major global power during the 1980s.","The UN was routinely marginalised by the USA and other powers during this period"
"George H. Bush","Individual","Delivered a pre‑conference speech prioritising American jobs over environmental concerns, representing the US position.","United States","President of the United States (1989‑1993). President of the United States at the time of UNCED.","Before the Conference, US President George H. Bush gave a speech promising the American public that American jobs came before the environment."
"Maurice Strong","Individual","Summarised the summit as a historic moment for humanity, providing leadership and symbolic endorsement of the outcomes.","None","Conference Secretary‑General of UNCED.","At its close, Maurice Strong, the Conference Secretary-General, called the Summit a 'historic moment for humanity'."
"Global Environment Facility (GEF)","Organization","Provides financial resources for implementing the agenda set out at the Rio Summit.","None","Funding mechanism established at UNCED to support environmental projects.","a funding mechanism called the Global Environment Facility (GEF), which would be managed by the World Bank."
"Commission on Sustainable Development (CSD)","Organization","Tracks implementation of sustainable‑development commitments adopted at the Rio Summit.","None","UN body created to monitor progress on Agenda 21.","The Summit also established the Commission on Sustainable Development (CSD) to monitor progress on the implementation of Agenda 21."
"Arab oil nations","Coalition","Attempted to remove energy‑conservation from the Agenda 21 plan of action during the preparatory process.","Arab states","Group of oil‑producing Arab states.","In the preparatory process, Arab oil nations attempted to remove energy conservation from the Agenda 21 plan of action."
"Malaysia","Government","Led developing nations in arguing that a legally binding forest convention could infringe on sovereign rights to exploit forest resources.","Malaysia","Southeast Asian nation and member of the UN.","Developing nations, led by Malaysia and India, argued that such a convention might interfere with their sovereign right to exploit forest resources."
"United Kingdom","Government","Criticised for opposing the UN target that developed nations allocate 0.7 % of national income to development aid.","United Kingdom","European nation and UN member state. The national government of the United Kingdom.","The UK was criticised for its opposition to the UN target for developed nations to give 0.7 per cent of national income to development aid."
"United States","Government","Through its delegation, insisted that no fixed date be set for reducing greenhouse‑gas emissions to 1990 levels.","United States","Federal government of the United States of America. North American nation and UN member state. One of the major emitters of CFCs at the time of the Montreal Protocol negotiations; prepared to take an ...","During the conference, the US delegation insisted that no date should be fixed to reduce greenhouse gases to 1990 levels in the climate change convention."
"Pearson Commission","Organization","Originated the 0.7 % of national income aid target later reiterated by the Brandt Report.","None","Commission that proposed an overseas‑aid target in 1969.","The Pearson Commission originally proposed the overseas aid target in 1969, and this was reiterated by the Brandt Report a decade later."
"George W. Bush","Individual","Chose not to attend the summit and had previously rejected the Kyoto Protocol, shaping the United States' isolationist stance toward global environmental agreements.","United States","President of the United States at the time of the WSSD (2002).","the decision by US President George W. Bush not to attend the summit rendered it partially impotent."
"Colin Powell","Individual","Led the US delegation, emphasising private‑sector deals and prioritising economic growth over binding global environmental treaties.","United States","U.S. Secretary of State who led the United States delegation to the WSSD.","The Secretary of State, Colin Powell, led the US delegation, which emphasised deals with the private sector and stressed the importance of economic growth over binding global treaties to fight environmental problems and poverty."
"New Partnership for Africa's Development (NEPAD)","Coalition","Was deliberately linked to the WSSD’s WEHAB action plan and the Millennium Development Goals to align African development priorities with global sustainability objectives.","Africa","An African Union‑led development initiative aimed at eradicating poverty and promoting sustainable development across the continent.","Due to the host country being South Africa, there was a deliberate attempt to connect WEHAB to the Millennium Development Goals (MDGs) and the New Partnership for Africa's Development (NEPAD) initiative."
"UNFCCC","Organization","Cited as a second‑generation multilateral environmental agreement addressing climate change, illustrating the evolution of global environmental governance.","International","United Nations Framework Convention on Climate Change, the international treaty body governing climate‑change policy. United Nations Framework Convention on Climate Change, the international treaty th...","climate change (UNFCCC, 1992)"
"British Antarctic Survey","Organization","Supplied early scientific evidence of a dramatic decline in Antarctic ozone concentrations, helping to trigger international action on ozone protection.","United Kingdom","A United Kingdom research institution that monitors Antarctic environmental conditions.","That same year the British Antarctic Survey found that the springtime atmospheric concentration of ozone in the Antarctic had decreased by 40 per cent from 1964 levels."
"US Environmental Protection Agency","Government","Quantified the health‑related economic benefits of reducing CFC emissions, reinforcing the case for the Montreal Protocol.","USA","The United States federal agency responsible for protecting human health and the environment. United States federal agency tasked with protecting human health and the environment.","The US Environmental Protection Agency also estimated that a 50 per cent reduction in chlorofluorocarbon (CFC) emissions from 1986 levels could save the US trillions of dollars in reduced health costs associated with treating skin cancer."
"World Meteorological Organization (WMO)","Organization","Co‑created the IPCC, thereby contributing scientific legitimacy to global climate governance.","International","A specialized United Nations agency coordinating international meteorological and climate activities.","The scientific support is provided by the Intergovernmental Panel on Climate Change (IPCC), created in 1988 by the WMO and UNEP."
"United Nations Environment Programme (UNEP)","Organization","Co‑created the IPCC, supporting the scientific foundation for climate policy and the UNFCCC process.","International","The UN's global environmental authority that promotes sustainable development.","The scientific support is provided by the Intergovernmental Panel on Climate Change (IPCC), created in 1988 by the WMO and UNEP."
"United Nations Framework Convention on Climate Change (UNFCCC)","Organization","Serves as the main institutional apparatus for international climate negotiations, built on the scientific assessments of the IPCC.","International","An international environmental treaty that stabilises greenhouse‑gas concentrations in the atmosphere. An international treaty and its secretariat that coordinates global climate negotiations.","Its findings supported the establishment of the main apparatus for negotiations: the UNFCCC."
"USA","Government","Ratified the UNFCCC, participated in COP negotiations, and was a key actor whose domestic political stance (e.g., concerns about economic costs) influenced the pace of protocol ratification.","USA","United States of America, a major industrialised nation and a signatory to the UNFCCC.","including the USA, and entered into force in 1994."
"EU","Organization","Participated as a bloc in COP negotiations, often representing the interests of multiple European member states in climate agreements.","International","European Union, a supranational political and economic union of European states.","China, the EU, India and the USA could not reach agreement on the core elements of a binding agreement."
"G8 nations","Coalition","Announced a collective ambition to halve global CO₂ emissions by 2050, influencing the climate policy agenda during the Kyoto Protocol era.","International","Group of eight major industrialised economies (Canada, France, Germany, Italy, Japan, Russia, United Kingdom, United States).","Criticism of the level of cuts achieved by developed nations was only partly ameliorated by an announcement from G8 nations that they would aim to at least halve global carbon dioxide emissions by 2050."
"Alliance of Small Island States","Coalition","Voiced grave concerns at COP 15 about existential threats from climate change, advocating for stronger mitigation commitments.","International","A coalition of low‑lying island and coastal countries vulnerable to sea‑level rise and climate impacts.","an Alliance of Small Island States expressed their grave concern that climate change posed the most serious threat to their survival and viability."
"Barack Obama","Individual","His election raised expectations that the United States would support legally binding climate targets, influencing the dynamics of COP 15 negotiations.","USA","44th President of the United States (2009‑2017).","Many attendees were hopeful, as the election of US President Barack Obama raised the possibility of US agreement to legally binding targets"
"Indonesia","Government","Hosted a key COP meeting that laid groundwork for the Copenhagen agreement.","Indonesia","Republic of Indonesia, host country of COP 13 (Bali).","COP 13 in Bali, Indonesia"
"Poland","Government","Hosted a COP that continued negotiations toward a new post‑Kyoto climate agreement.","Poland","Republic of Poland, host country of COP 14 (Poznań).","COP 14 in Poznan, Poland"
"Denmark","Government","Hosted the high‑profile COP 15, where the Copenhagen Accord was negotiated.","Denmark","Kingdom of Denmark, host country of COP 15 (Copenhagen).","COP 15 ... in Copenhagen, Denmark."
"President Obama","Individual","Limited political capital for climate negotiations; his domestic political battles over healthcare reduced his ability to push for stronger climate outcomes at COP 15.","United States","Barack Obama, the 44th President of the United States (served 2009‑2017).","President Obama made it clear he had limited political capital to spend, as opposition to his healthcare legislation dominated US politics."
"Green Climate Fund","Organization","Created to channel mitigation and adaptation funding to developing nations as part of the outcomes of COP 16.","International","An international fund established within the UNFCCC framework to channel financing for climate mitigation and adaptation in developing countries.","established a Green Climate Fund for channelling mitigation and adaptation funding to developing nations."
"Japan","Government","Identified as a major power base capable of unilateral action in climate negotiations.","Japan","Government of Japan.","China, the EU, Brazil, India, Japan and the USA each represent power bases that can, and do, act unilaterally to protect their own interests."
"Aristotle","Individual","Laid early foundations for systematic study of nature that later informed ecological thinking.","Greece","Ancient Greek philosopher (384‑322 BC) who classified and described the natural world.","Aristotle (384-322 BC) ... classified and described the natural world"
"Theophrastus","Individual","Contributed to early systematic knowledge of plants and animals, a precursor to modern ecology.","Greece","Ancient Greek philosopher and student of Aristotle (c. 371‑c. 287 BC) who classified and described the natural world.","Theophrastus (c. 371-c. 287 BC) classified and described the natural world"
"Pliny the Elder","Individual","Created one of the earliest comprehensive compilations of natural knowledge, influencing later scientific inquiry into nature.","Roman Empire (Italy)","Roman author and naturalist (AD 23‑79) who wrote *Historia Naturalis*, an encyclopedia of natural entities.","Roman Pliny the Elder (AD 23-79) wrote Historia Naturalis, an encyclopaedia which sought to catalogue all the entities found in nature"
"John Ray","Individual","Advanced the scientific study of nature during the Enlightenment, shaping early ecological perspectives.","United Kingdom","English naturalist (1627‑1705) who authored *The Wisdom of God Manifested in the Works of the Creation* (1691).","The English naturalist John Ray (1627-1705) called his popular study of the natural world The Wisdom of God Manifested in the Works of the Creation (1691)"
"Carl Linnaeus","Individual","His taxonomy placed humans within the animal kingdom, a conceptual shift that underpins contemporary ecological thinking.","Sweden","Swedish botanist and physician (1707‑1778) who created the modern system of biological classification.","the Swedish naturalist Carl Linnaeus (1707-78) attributed his system of classifying species of plants and animals to God's design"
"Pehr Kalm","Individual","Provided early empirical evidence of human impacts on wildlife, informing later conservation arguments.","Sweden","Finnish‑Swedish botanist and explorer (1716‑1779) who linked wildlife decline to settlers' hunting practices in North America.","Pehr Kalm (1716-79) studied with Linnaeus and later travelled in North America, where he linked a decline in the abundance of wildlife to settlers' hunting techniques"
"Alexander von Humboldt","Individual","Pioneered a holistic view of ecosystems that influences modern planetary health frameworks.","Germany","German explorer and naturalist (1769‑1859) who integrated physical and natural sciences to explain terrain and climate effects on plants.","The explorer and naturalist Alexander von Humboldt (1769-1859) combined the physical and natural sciences to explain the impact of terrain and climate on plants"
"Thomas Malthus","Individual","Introduced the concept of ecological limits, a cornerstone of sustainability discourse.","United Kingdom","British scholar and demographer, author of *An Essay on the Principle of Population*. English economist and demographer (1766‑1834) who articulated the relationship between population growth and resou...","Thomas Malthus (1766-1834) set out how population growth was mediated by limits to resources"
"Charles Darwin","Individual","Provided a scientific framework for understanding species adaptation and interdependence, essential to ecological science.","United Kingdom","English naturalist (1809‑1882) who formulated the theory of evolution by natural selection.","Charles Darwin (1809-82) developed his theory of evolution"
"Ernst Haeckel","Individual","Named and defined the discipline that directly studies the interdependence of life and environment.","Germany","German biologist (1834‑1919) who coined the term “ecology” to describe organism‑environment relationships.","In the 1860s, Ernst Haeckel (1834-1919) introduced the term 'ecology' to describe the relations between organisms and their environment"
"George Perkins Marsh","Individual","One of the earliest advocates for recognizing human responsibility in environmental degradation, influencing modern conservation policy.","United States","American environmentalist and diplomat (1801‑1882) who authored *Man and Nature* (1864), arguing that humans are the primary cause of species extinction.","In the same decade, George Perkins Marsh (1801-82) published Man and Nature (1864), and argued that humankind was the prime cause of species extinction"
"Henry Thoreau","Individual","Provided early intellectual grounding for linking ecological understanding with ideas of natural simplicity and human‑nature interdependence.","USA","American naturalist, essayist, and philosopher (1817‑1862) who explored Walden Pond and reflected on the relationship between people and nature.","Henry Thoreau's (1817-62) exploration of the land surrounding Walden Pond near Concord, Massachusetts in the USA informed his appreciation of natural simplicity, and his views on the ties between people and nature drew upon his understanding of local ecology."
"Peter Kropotkin","Individual","Developed ideas about self‑sufficiency, local organisation and cooperative production that linked ecological observations to alternative socio‑economic models.","Russia","Russian anarchist communist and geographer (1842‑1921) who studied animal behaviour to develop social theories.","The Russian anarchist communist Peter Kropotkin (1842-1921) developed ideas about self-sufficiency, local organisation and production based on his studies of animal behaviour."
"British Ecological Society","Organization","Hosted the inaugural meeting in 1913, marking the formal institutionalisation of ecology as a scientific discipline.","United Kingdom","Professional society founded in the United Kingdom to advance ecological science.","In 1913 the British Ecological Society held its inaugural meeting"
"Ecological Society of America","Organization","Founded two years after the British Ecological Society, helping to spread ecological ideas that later informed environmental governance and management.","USA","Professional association in the United States dedicated to the advancement of ecological research and its application.","followed two years later by the foundation of the Ecological Society of America."
"Aldo Leopold","Individual","Combined ecological science with ethical and aesthetic values, promoting a vision of harmony among humans, soils, water, plants, and animals that underpins modern environmental thought.","USA","American forester, ecologist, and author (1886‑1948) known for articulating the land ethic.","The forester and academic Aldo Leopold (1886-1948) was one of the first to combine ecological ideas with aesthetic and ethical values in a way that clearly chimes with contemporary environmental thinking."
"Californian Fisheries and Game Department","Government","Commissioned a scientific study that raised awareness of pesticide hazards, influencing both the international scientific community and the American public.","USA","State agency of California responsible for managing fisheries, wildlife, and game resources.","A scientific study for the Californian Fisheries and Game Department played a considerable part in stimulating awareness of the need to act among both the international science community and the American public."
"House of Lords","Government","Served as a forum where large‑scale bird and fox deaths linked to pesticide use were raised, contributing to early political scrutiny of environmental harms.","United Kingdom","Upper chamber of the United Kingdom Parliament.","In the UK, large-scale bird and fox deaths were raised in the House of Lords."
"Norman Moore","Individual","Guided UK research priorities on persistent pesticides after learning about the Clear Lake study.","United Kingdom","Head of the Nature Conservancy's Toxic Chemicals and Wildlife research station at Monks Wood (UK).","Norman Moore (b. 1923), the head of the Nature Conservancy's newly established Toxic Chemicals and Wildlife research station at Monks Wood in the UK."
"John F. Kennedy","Government","Ordered the U.S. Science Advisory Committee to examine pesticide use in response to the public impact of *Silent Spring*.","United States","President of the United States (1961‑1963).","US President John F. Kennedy ordered his Science Advisory Committee to examine pesticide use"
"Science Advisory Committee (U.S.)","Government","Tasked with reviewing pesticide use after the publication of *Silent Spring*.","United States","Advisory body to the U.S. President on scientific matters.","US President John F. Kennedy ordered his Science Advisory Committee to examine pesticide use"
"U.S. Senate subcommittee","Government","Heard testimony from Rachel Carson, providing a formal political venue for discussing pesticide regulation.","United States","A legislative subcommittee of the United States Senate.","Carson was interviewed on news programmes and testified to a subcommittee of the US Senate"
