Name,Type,Role,Country,Description,Supporting_Text
"World Value Survey","Organization","Supplies comparative data on life evaluations and other well‑being dimensions that feed into alternative metrics beyond GDP.","International","An international research project that surveys public values and beliefs across many countries worldwide.","From 1981, academic groups started to work on the European Value Survey and World Value Survey in order to compare various SWB and other attitudes over multiple countries."
"Nordhaus","Individual","Co‑author of the early green‑accounting index (MEW) that added leisure and subtracted environmental damage, pioneering the incorporation of nature’s value into welfare measurement.","None","Yale economist who co‑created the Measure of Economic Welfare (MEW).","the Measure of Economic Welfare was created by Yale economists Nordhaus and Tobin."
"Tobin","Individual","Co‑author of the early green‑accounting index (MEW) that added leisure and subtracted environmental damage, pioneering the incorporation of nature’s value into welfare measurement.","None","Yale economist who co‑created the Measure of Economic Welfare (MEW).","the Measure of Economic Welfare was created by Yale economists Nordhaus and Tobin."
"Daly","Individual","Co‑developer of ISEW, a green‑accounting aggregate that later evolved into the Genuine Progress Indicator (GPI), integrating ecological limits into economic measurement.","None","Economist (Herman Daly) who co‑proposed the Index for Sustainable Economic Welfare (ISEW).","The MEW methodology inspired the Index for Sustainable Economic Welfare (ISEW), which was proposed in 1989 by Daly and Cobb."
"Cobb","Individual","Co‑developer of ISEW, a green‑accounting aggregate that later evolved into the Genuine Progress Indicator (GPI), integrating ecological limits into economic measurement.","None","Economist (John Cobb) who co‑proposed the Index for Sustainable Economic Welfare (ISEW).","The MEW methodology inspired the Index for Sustainable Economic Welfare (ISEW), which was proposed in 1989 by Daly and Cobb."
"Roefie Hueting","Individual","Proposed a green‑accounting method that uses environmental limits as the foundation, directly quantifying the maximum national income compatible with sustainability.","None","Economist who introduced the Sustainable National Income (SNI) approach.","A different, rather unique, approach was proposed in 1974 by Roefie Hueting: Sustainable National Income."
"John Hicks","Individual","Provided the theoretical basis for the capital approach to green accounting, linking maintenance of capital stocks to sustainable income measurement.","None","Economist who defined real (Hicksian) income and contributed to capital‑based green accounting.","John Hicks, back in 1939, defined real income as the maximum amount that could be spent on consumption without reducing the capacity to maintain the same consumption stream over time."
"United Nations University","Organization","Led the creation of the Inclusive Wealth Index, a comprehensive measure that aggregates natural, human, and produced capital to reflect the true wealth of nations beyond GDP.","None","UN research and training institute that developed the Inclusive Wealth Index (IWI).","The United Nations University, under the leadership of Partha Dasgupta, proposed the Inclusive Wealth Index (IWI)."
"Partha Dasgupta","Individual","Directed the development of the Inclusive Wealth Index, integrating ecological and social capital into a single metric for national wellbeing.","None","Economist who led the United Nations University effort on the Inclusive Wealth Index.","The United Nations University, under the leadership of Partha Dasgupta, proposed the Inclusive Wealth Index (IWI)."
"Maryland","Government","Implemented GPI at the state level, providing a concrete example of replacing GDP with a welfare‑oriented metric that accounts for environmental and social factors.","United States","U.S. state government that has adopted an official Genuine Progress Indicator (GPI) measure.","Two US states, Maryland and Vermont, have introduced official GPI measures"
"Vermont","Government","Implemented GPI at the state level, providing a concrete example of replacing GDP with a welfare‑oriented metric that accounts for environmental and social factors.","United States","U.S. state government that has adopted an official Genuine Progress Indicator (GPI) measure.","Two US states, Maryland and Vermont, have introduced official GPI measures"
"UN representatives","Other","Convinced Amartya Sen to adopt a simplified version of his capability approach for the HDI, facilitating the creation of a widely used alternative to GDP.","None","Officials and delegates of the United Nations who engage in policy formulation and advocacy.","Nevertheless, he was convinced by the UN representatives to go ahead with a highly simplified version of his theory."
"Amartya Sen","Individual","Provided the theoretical foundation (capability approach) that informed the design of the Human Development Index, a key Beyond‑GDP metric that values human wellbeing beyond monetary output.","India","Indian economist and philosopher, originator of the capability approach to welfare economics.","The capability approach is philosophically challenging and critiques welfare economics in particular. Sen was not in fact in favour of capturing the many dimensions of society in one index."
"World Economic Forum","Organization","Produces composite indicators such as the Competitiveness Index, which, while not explicitly a Beyond‑GDP tool, exemplifies the broader use of multi‑dimensional metrics in economic discourse.","None","Swiss‑based international organization that publishes global competitiveness and innovation rankings.","Examples include the Competitiveness Index published by the World Economic Forum and the Global Innovation Index."
"King of Bhutan","Individual","Initiated one of the earliest and most cited Beyond‑GDP initiatives (Gross National Happiness) in the early 1970s, providing a concrete alternative to GDP‑based measurement.","Bhutan","Monarch of Bhutan who launched the Gross National Happiness programme.","One of the earliest and most cited Beyond-GDP initiatives is the programme on Gross National Happiness which was initiated by the King of Bhutan in the early 1970s."
"Commission for Sustainable Development (CSD)","Organization","Proposed a Type 3 indicator set in 1995 and facilitated stakeholder deliberations among UN member states, giving a major boost to the measurement of Beyond‑GDP metrics.","International","A United Nations commission established to promote sustainable development indicators.","In 1995 the Commission for Sustainable Development (CSD) proposed such an indicator set. The CSD indicators were based on stakeholder deliberations between the various countries of the UN."
"EU28 countries","Coalition","Each created its own national indicator set, demonstrating both diffusion of Beyond‑GDP metrics and divergence from the CSD benchmark.","European Union","The 28 member states of the European Union (as of the period discussed).","All EU28 countries created their own indicator set, and there was also a European SDI which was produced by Eurostat."
"Switzerland","Government","Early adopter of Type 4 (conceptual) sustainability indicator sets, contributing to the shift toward incorporating nature’s value in economic metrics.","Switzerland","A European country that began creating indicator sets based on conceptual frameworks in the mid‑2000s.","in the mid-2000s a couple of countries started to create indicator sets based on conceptual frameworks: Switzerland, Norway and New Zealand"
"New Zealand","Government","Early adopter of Type 4 (conceptual) sustainability indicator sets, influencing the integration of wellbeing‑based metrics beyond GDP.","New Zealand","A Pacific nation that began creating indicator sets based on conceptual frameworks in the mid‑2000s.","in the mid-2000s a couple of countries started to create indicator sets based on conceptual frameworks: Switzerland, Norway and New Zealand"
"Belgium","Government","Expanded the use of conceptual sustainability indicators, supporting the move toward metrics that value nature and wellbeing.","Belgium","A European country that later introduced Type 4 indicator sets.","Later the Netherlands and Belgium also introduced Type 4 indicator sets"
"UNECE","Organization","Co‑creator of the Working Group for Statistics on Sustainable Development (WGSSD) and later the Task Force on Measuring Sustainable Development (TFSD), driving the development of nature‑inclusive statistical frameworks.","Switzerland (headquarters in Geneva)","United Nations Economic Commission for Europe, an intergovernmental body.","In 2004, the UNECE, OECD and Eurostat (European Commission) created the Working Group for Statistics on Sustainable Development (WGSSD)"
"Working Group for Statistics on Sustainable Development (WGSSD)","Organization","Produced a 2009 report that influenced the Stiglitz Report and promoted both monetary and non‑monetary indicators for natural and other capital.","International (UN‑OECD‑EU partnership)","A joint UNECE‑OECD‑Eurostat working group established in 2004 to develop sustainability statistics.","In 2004, the UNECE, OECD and Eurostat (European Commission) created the Working Group for Statistics on Sustainable Development (WGSSD)."
"Joint UNECE/OECD/Eurostat Task Force on Measuring Sustainable Development (TFSD)","Organization","Built on the Stiglitz Report’s conceptual framework and produced Type 4 indicator sets, further embedding nature’s value into statistical systems.","International (UN‑OECD‑EU partnership)","Successor task force to the WGSSD, created in 2009 to advance measurement of sustainable development.","In 2009, just after the publication of the Stiglitz Report, the joint UNECE/OECD/Eurostat Task Force on Measuring Sustainable Development (TFSD) was created."
"Conference of European Statisticians","Organization","Endorsed the TFSD report, facilitating adoption of sustainability indicators by European countries.","Europe (pan‑European body)","A professional body that brings together national statistical institutes across Europe.","The report was endorsed by the Conference of European Statisticians and the CES Recommendations on Measuring Sustainable Development have been adopted by a couple of countries so far."
"Statistical Commission of the United Nations","International organization","Adopted the SEEA 2012 Central Framework, thereby formalising the accounting system that can replace or complement GDP with environmental and natural‑capital metrics.","International","The highest decision‑making body of the United Nations Statistical Commission, responsible for setting global statistical standards.","After a lengthy deliberation process the System of Environmental Economic Accounting 2012 - Central Framework was adopted by the Statistical Commission of the United Nations."
"UN Statistical Division","International organization","Set an explicit target for a hundred countries to start producing SEEA accounts by 2020, driving the diffusion of nature‑centric metrics worldwide.","International","A division of the United Nations that supports the development and implementation of global statistical standards and capacity‑building.","The UN Statistical Division has made it its explicit aim to have a hundred countries start producing SEEA account by 2020."
"Statistical offices of UN member states","Government","Agreed to adopt the SEEA handbook, enabling the production of environmental accounts that integrate nature’s value into national economic statistics.","Various UN member states","National statistical agencies of the United Nations' member countries responsible for collecting and reporting official statistics.","Getting this handbook agreed by six international institutes and all the statistical offices of the UN member states is a major achievement."
"US Congress","Government","Discontinued the United States' environmental accounts, illustrating vested institutional resistance to Beyond‑GDP initiatives.","United States","The legislative body of the United States that discontinued the environmental accounts in the 1990s.","The environmental accounts of the United States were discontinued in the 1990s by the US Congress."
"Bleys","Individual","Provided a comprehensive assessment of requirements (timeliness, robustness, communication, standardised methodology) for successful Beyond‑GDP adoption.","None","Co‑author of a 2015 assessment of Beyond‑GDP initiatives.","Bleys and Whitby (2015) probably provide the most comprehensive assessment in this direction."
"Whitby","Individual","Co‑authored the comprehensive assessment of success criteria for Beyond‑GDP indicators.","None","Co‑author of a 2015 assessment of Beyond‑GDP initiatives.","Bleys and Whitby (2015) probably provide the most comprehensive assessment in this direction."
"Hayden","Individual","Investigated the disappointing uptake of Beyond‑GDP indicators, highlighting implementation challenges.","None","Co‑author of a 2016 study on the uptake of Beyond‑GDP indicators in Canada.","Hayden and Wilson (2016) investigate the "disappointing" uptake of Beyond‑GDP indicators in Canada."
"Wilson","Individual","Co‑investigated the limited adoption of Beyond‑GDP metrics, contributing to the critique of current approaches.","None","Co‑author of a 2016 study on the uptake of Beyond‑GDP indicators in Canada.","Hayden and Wilson (2016) investigate the "disappointing" uptake of Beyond‑GDP indicators in Canada."
"Costanza et al.","Coalition","Proposed analogies between GDP addiction and substance addiction, suggesting motivational interviewing as a possible societal intervention.","None","Research team led by Robert Costanza that authored a 2017 paper linking society’s GDP focus to addiction.","In a novel paper, Costanza et al. (2017) liken society's focus on economic growth to a real addiction."
