Title,Year,Type,Significance,Description,Supporting_Text
"Launch of European The Big Ask campaign",2009,"Movement",,"A European-wide campaign was launched, extending The Big Ask to eighteen European countries demanding binding annual greenhouse‑gas cuts.","Inspired by the UK success, a European campaign was launched in 2009 with similar laws being submitted to parliament in Austria, Belgium, Finland, Malta, Ireland and Scotland."
"High Court ruling on Heathrow expansion policy",2010,"Court decision",,"A High Court judge ruled that the government’s policy for expanding Heathrow airport needed to be re‑examined.","On 26 March 2010, a High Court judge ruled that the government's policy for the expansion of Heathrow airport, first set out in 2003, would need to be re-examined."
"Cancellation of Heathrow third‑runway plans",2010,"Policy",,"The newly elected Conservative‑Liberal Democrat coalition government cancelled the proposed third runway at Heathrow and ruled out new runways at Stansted and Gatwick.","In May 2010, the newly elected Conservative and Liberal Democrat coalition government cancelled plans for the third runway at Heathrow and ruled out new runways at Stansted and Gatwick airports."
"CAR2 campaign against Manchester second runway",1997,"Movement",,"The Coalition Against Runway 2 (CAR2) campaigned to stop the construction of a second runway at Manchester International Airport; the campaign was unsuccessful.","This compares with the unsuccessful campaign Coalition Against Runway 2 (CAR2) to stop the construction of a second runway at Manchester's International Airport in 1997."
"Introduction of the American Power Act",2010,"Policy",,"The Obama Administration introduced the American Power Act, a Climate Change Bill targeting a 17 % emissions reduction by 2020.","In May 2010, the Obama Administration introduced a long-awaited Climate Change Bill, the American Power Act, which sought to reduce carbon emissions by 17 per cent by 2020 compared with 2005 levels."
"US Senate postponement of Climate Change Bill",2010,"Policy",,"The US Senate announced it was postponing advancement of the Climate Change Bill due to opposition and competing political priorities.","In July 2010, the US Senate announced that it was postponing the advancement of the Climate Change Bill due to wide opposition among Republican lawmakers and some Democrats."
"Multi‑year coalition effort to block Heathrow third runway",None,"Process",,"Over several years a broad coalition of NGOs and campaign groups worked together to make the Heathrow third‑runway proposal politically unpalatable.","Over a number of years, a wide coalition of campaign groups, including Campaign for Better Transport, Climate Camp, FoE, National Trust, Greenpeace, Society for the Protection of Ancient Buildings, and Plane Stupid, worked together to make the proposal for a third runway at London Heathrow airport p..."
"Ongoing green campaign activity in the United States (past 20 years)",None,"Process",,"For roughly the past two decades, green campaigns have been launched in the US to support a series of legislative climate change bills, none of which have succeeded to date.","Over the past twenty years, green campaigns have been launched in support of a series of legislative climate change bills, and at the time of writing each one has failed."
"Friends of the Earth public lobbying of MPs",2006,"Process",,"Following the September 2006 push, FoE mobilised the public over several weeks to personally lobby 620 of 646 MPs to back the climate‑law campaign.","Over the following weeks, FoE mobilised the public to personally lobby 620 out of a total of 646 MPs to back its campaign."
"MoveOn network’s ongoing focus on energy and environmental issues",2003,"Process",,"Since 2003 the progressive MoveOn network has consistently made energy and environmental issues a campaign priority, maintaining a long‑term advocacy process across the United States.","The progressive MoveOn network has approximately 3 million members across the USA, and since 2003 has consistently made energy and environmental issues a campaign priority."
"350 campaign’s global day of action (largest international climate campaign)",2009,"Movement",,"In 2009 the campaign group 350 organised the single largest international campaign on climate change, coordinating a global day of action that saw 5,200 demonstrations in 181 countries, all aimed at a...","In 2009, the campaign group 350 organised the single largest international campaign on climate change. ... Through the internet and other media channels, the 350 campaign organised a global day of action. A total of 5200 demonstrations took place in 181 countries, involving groups from across the en..."
"UN Conference on the Human Environment (UNCHE)",1972,"Conference",,"First international conference that recognized environmental deterioration as an issue requiring attention, held in Stockholm, Sweden, catalyzing multilateral environmental agreements and initiating t...","The international community first recognised the deterioration of the environment as an issue that required attention in its own right at the 1972 UN Conference on the Human Environment (UNCHE), held in Stockholm (Sweden)."
"Establishment of the United Nations",1945,"Organization",,"Founding of the United Nations, creating a multilateral forum for post‑war reconstruction, peace, and later environmental governance.","The post-war era of global environmental governance would not have been possible without the initial commitment to multilateralism shown by world powers when they created the UN in 1945."
"UN Scientific Conference on the Conservation and Utilization of Resources (UNSCCUR)",1949,"Conference",,"Conference organized by the UN Economic and Social Council to consider conservation of natural resources, attended by 640 scientists from 50 countries, held at Lake Success, New York.","In 1949 the UN Scientific Conference on the Conservation and Utilization of Resources (UNSCCUR) was held at Lake Success in New York."
"UN Declaration on Permanent Sovereignty over Natural Resources",1962,"Declaration",,"Declaration secured by developing nations, led by Chile, affirming permanent sovereignty over natural resources.","In 1962 developing nations, led by Chile, secured a UN Declaration on Permanent Sovereignty over Natural Resources."
"UN General Assembly Resolution on Exploitation and Marketing of Natural Wealth",1966,"Resolution",,"Resolution recognizing that developing nations must be able to exploit and market their natural wealth.","This was followed by a 1966 UN General Assembly Resolution, which recognised that developing nations must be able to exploit and market their natural wealth."
"Biosphere Conference (1968)",1968,"Conference",,"UNESCO‑organised conference that examined the scientific basis for rational use and conservation of the biosphere’s resources and discussed the causes of environmental deterioration.","The first major signs of this new environmental focus were displayed at the 1968 Biosphere Conference held in Paris. This UNESCO-organised conference examined the scientific basis for rational use and conservation of the resources of the biosphere, and in doing so discussed the causes of environment..."
"Publication of Problems of the Human Environment",1969,"Publication",,"Report by UN Secretary‑General U Thant that warned the world had a decade to address air and water pollution, soil erosion and the waste of natural resources, generating worldwide newspaper headlines.","Conference delegates expressed concerns over rapid population growth, urbanisation and industrialisation, and these were outlined in a report published the following year by UN Secretary General Thant (1909-74). The report, entitled Problems of the Human Environment (1969), suggested the world had a..."
"Proposal of a Global Conference on the Human Environment by Sweden",1967,"Other",,"Swedish Deputy Permanent Secretary Börje Billner presented to the UN General Assembly the idea of convening a conference to coordinate member states on complex human‑environment problems.","On 13 December 1967, the Swedish Deputy Permanent Secretary, Börje Billner, put forward the idea to the UN General Assembly that a conference be held to facilitate coordination and to focus the interest of member countries on extremely complex problems related to the human environment."
"Adoption of UN General Assembly Resolution 2398 (XXIII) convening UNCHE",1968,"Policy",,"During its twenty‑third session in December 1968, the UN General Assembly adopted resolution 2398 (XXIII), formally convening the UN Conference on the Human Environment in Stockholm and noting the acc...","At its twenty-third session in December 1968, the UN General Assembly supported the Swedish proposal and agreed it would take place in Stockholm. The General Assembly adopted resolution 2398 (XXIII) convening the UNCHE and noting the '[...] continuing and accelerating impairment of the quality of th..."
"Publication of the Founex Report on Development and Environment",1971,"Publication",,"Report emerging from UNCHE preparatory discussions that clearly set out the link between environment and development priorities, helping convince developing countries of the relevance of environmental...","The outcome of these discussions was The Founex Report on Development and Environment (1971), which clearly set out the link between environment and development priorities and helped to convince developing countries that environmental issues were relevant to their situation."
"World Bank President Robert McNamara proposes establishment of an international commission on global development",1977,"Other",,"In January 1977 the president of the World Bank, Robert McNamara, suggested setting up an international commission to formulate basic proposals to break through an international impasse in negotiation...","In January 1977 the president of the World Bank, Robert McNamara (1916-2009), suggested setting up an international commission to formulate basic proposals to break through an international impasse in negotiations on global development."
"Publication of North‑South: A Program for Survival",1980,"Publication",,"The Brandt Commission published the report “North‑South: A Program for Survival”, outlining a comprehensive strategy for restructuring the global economic order and reinforcing mutual interests on dev...","It published two reports, North‑South: A Program for Survival (1980) and Common Crisis North‑South: Cooperation for World Recovery (1983)."
"Publication of Common Crisis North‑South: Cooperation for World Recovery",1983,"Publication",,"The Brandt Commission released “Common Crisis North‑South: Cooperation for World Recovery”, an emergency programme calling for a substantial increase in the flow of resources to the developing world.","It published two reports, North‑South: A Program for Survival (1980) and Common Crisis North‑South: Cooperation for World Recovery (1983)."
"Alignment of UNCHE and UNEP on environment‑development agenda",None,"Process",,"Over roughly twenty years, the United Nations Centre for Human Settlements (UNCHÉ) and the United Nations Environment Programme (UNEP) moved from separate initiatives to a closely aligned stance on th...","However, it took another twenty years for them to be closely aligned on the international stage."
"Adoption of UN General Assembly Resolution 38/161 establishing the World Commission on Environment and Development",1983,"Policy",,"The UN General Assembly passed Resolution 38/161, creating the World Commission on Environment and Development (WCED).","In 1983, the same year that Common Crisis was published, the UN General Assembly passed Resolution 38/161, establishing the World Commission on Environment and Development (WCED)."
"Publication of the World Conservation Strategy",1980,"Publication",,"A coalition of UN agencies and environmental groups released the World Conservation Strategy, emphasizing the interdependence of conservation and development.","the World Conservation Strategy (1980) published by a coalition of UN agencies and environmental groups."
"Publication of the Brundtland Report (Our Common Future)",1987,"Publication",,"The World Commission on Environment and Development released its report, Our Common Future, which defined and popularized the concept of sustainable development.","its report, Our Common Future, also known as the Brundtland Report, was published in 1987."
"Union Carbide chemical explosion at Bhopal",1984,"Other",,"A catastrophic chemical plant explosion in Bhopal, India, caused massive loss of life and highlighted industrial environmental hazards.","the 1984 Union Carbide chemical explosion at Bhopal in India"
"Chernobyl nuclear power plant disaster",1986,"Other",,"A reactor explosion at the Chernobyl nuclear power plant in the Soviet Union released large amounts of radioactive material, becoming a major environmental catastrophe.","the 1986 Chernobyl nuclear power plant disaster in the Soviet Union"
"UN Conference on Environment and Development (Earth Summit)",1992,"Conference",,"The UN held the major Earth Summit in Rio de Janeiro, Brazil, with 172 countries, heads of state, and thousands of NGOs participating to negotiate climate change, biodiversity, and forest policies.","This led to the 1992 UN Conference on Environment and Development (UNCED), also known as the 'Earth Summit', which was held on the 3-12 June in Rio de Janeiro, Brazil"
"Pearson Commission proposal of overseas aid target",1969,"Policy",,"The Pearson Commission put forward a proposal that developed nations should allocate 0.7 % of national income to overseas development aid.","The Pearson Commission originally proposed the overseas aid target in 1969"
"United Nations Conference on Environment and Development (UNCED)",1992,"Conference",,"The 1992 Earth Summit in Rio where negotiators secured the adoption of the UN Framework Convention on Climate Change, the Convention on Biological Diversity, Agenda 21, the Rio Declaration, and the St...","UNCED negotiators eventually secured the adoption of the UN Framework Convention on Climate Change (UNFCCC); the Convention on Biological Diversity (CBD); a global plan of action to promote sustainable development called Agenda 21; the Rio Declaration on Environment and Development, which set out a ..."
"UN Conference on Population (1994)",1994,"Conference",,"A UN conference, influenced by UNCED, that examined population issues.","UNCED influenced a series of subsequent UN conferences, which examined population (1994), social development (1995), rights and roles of women (1995) and human settlements (1996)."
"UN Conference on Social Development (1995)",1995,"Conference",,"A UN conference, influenced by UNCED, that examined social development.","UNCED influenced a series of subsequent UN conferences, which examined population (1994), social development (1995), rights and roles of women (1995) and human settlements (1996)."
"UN Conference on the Rights and Roles of Women (1995)",1995,"Conference",,"A UN conference, influenced by UNCED, that examined the rights and roles of women.","UNCED influenced a series of subsequent UN conferences, which examined population (1994), social development (1995), rights and roles of women (1995) and human settlements (1996)."
"UN Conference on Human Settlements (1996)",1996,"Conference",,"A UN conference, influenced by UNCED, that examined human settlements.","UNCED influenced a series of subsequent UN conferences, which examined population (1994), social development (1995), rights and roles of women (1995) and human settlements (1996)."
"UN General Assembly Special Session on the Environment (Rio+5)",1997,"Meeting",,"A special session of the UN General Assembly to review and appraise the implementation of Agenda 21, calling for poverty eradication as a priority and urging a high‑profile follow‑up conference.","In 1997, the UN General Assembly held a special session on the environment (also known as Rio+5) to review and appraise the implementation of Agenda 21."
"Adoption of UN General Assembly Resolution 55/199",2000,"Policy",,"In December 2000 the UN General Assembly adopted Resolution 55/199, acknowledging that despite many successful efforts since UNCED the environment and natural resource base continued to deteriorate at...","The need for action was further highlighted in December 2000, when the UN General Assembly adopted Resolution 55/199, acknowledging that, despite many successful and continuing efforts of the international community since UNCHE, the environment and the natural resource base continued to deteriorate ..."
"World Summit on Sustainable Development (WSSD)",2002,"Conference",,"The WSSD (Rio+10) was convened to reinvigorate global commitment to sustainable development and conduct a ten‑year review of progress since 1992. It was held in Johannesburg, South Africa from 26 Augu...","Following this, the UN convened a World Summit on Sustainable Development (WSSD) to reinvigorate the global commitment to sustainable development and undertake a ten-year review of progress achieved since 1992. The WSSD (also known as Rio+10) was held in Johannesburg (South Africa) from 26 August to..."
"United States rejection of the Kyoto Protocol",2001,"Policy",,"U.S. President George W. Bush rejected the Kyoto Protocol, arguing it would cripple the U.S. economy and give unfair exemptions to developing nations.","A year earlier, Bush had rejected the Kyoto Protocol to tackle climate change, claiming that it would cripple the US economy and that it gave unfair exemptions to developing nations."
"Adoption of the Ramsar Convention on Wetlands",1971,"Policy",,"International treaty establishing the protection of wetlands as a conservation priority.","Ramsar Convention, 1971"
"Adoption of CITES (Convention on International Trade in Endangered Species of Wild Fauna and Flora)",1973,"Policy",,"Treaty to regulate international trade in endangered wildlife and plant species.","Convention on International Trade in Endangered Species of Wild Fauna and Flora, CITES, 1973"
"Signing of the Vienna Convention for the Protection of the Ozone Layer",1985,"Treaty signing",,"Twenty nations signed the framework agreement that created a platform for negotiating regulations on ozone‑depleting substances.","Public concern over the health and environmental impacts of depletion of the ozone layer first translated into coordinated international action in 1985, when twenty nations signed the Vienna Convention for the Protection of the Ozone Layer."
"Signing of the Montreal Protocol on Substances that Deplete the Ozone Layer",1987,"Treaty signing",,"Forty‑three nations agreed to sign the protocol, freezing CFC production at 1986 levels and committing to a 50 % reduction by 1999.","By 1987, representatives from forty-three nations had agreed to sign the Montreal Protocol, freeze production of CFCs at 1986 levels, and reduce production by 50 per cent by 1999."
"First amendment strengthening of the Montreal Protocol",1990,"Policy amendment",,"The protocol was strengthened to introduce additional control measures on ozone‑depleting substances.","The Protocol was strengthened in 1990 ..."
"Second amendment strengthening of the Montreal Protocol",1992,"Policy amendment",,"Further amendment that set a schedule to phase out CFCs entirely by 1996.","... and again in 1992 to phase out CFCs entirely by 1996."
"Adoption of the UN Framework Convention on Climate Change (UNFCCC)",1992,"Policy",,"International treaty establishing a framework for global action on climate change.","climate change (UNFCCC, 1992)"
"Adoption of the Basel Convention on Hazardous Wastes",1989,"Policy",,"Treaty controlling the transboundary movements of hazardous wastes.","hazardous wastes (Basel Convention, 1989)"
"Adoption of the Rotterdam Convention on Hazardous Chemicals and Pesticides",1998,"Policy",,"Treaty that promotes shared responsibility and cooperative efforts in the international trade of hazardous chemicals and pesticides.","hazardous chemicals and pesticides (Rotterdam Convention, 1998)"
"Adoption of the Cartagena Protocol on Biosafety",2000,"Policy",,"Protocol under the Convention on Biological Diversity that addresses the safe handling, transport and use of living modified organisms resulting from modern biotechnology.","bio‑safety (Cartagena Protocol, 2000)"
"Adoption of the Stockholm Convention on Persistent Organic Pollutants",2001,"Policy",,"Treaty aimed at eliminating or restricting the production and use of persistent organic pollutants (POPs).","persistent organic pollutants (Stockholm Convention, 2001)"
"World Summit on Sustainable Development – adoption of the Johannesburg Declaration and Plan of Implementation",None,"Conference",,"The summit produced the Johannesburg Declaration on Sustainable Development and a Plan of Implementation, promoting Type II multi‑stakeholder partnerships to advance sustainable development goals.","The outcome of the Summit was its Plan of Implementation and the Johannesburg Declaration on Sustainable Development."
"Creation of the Intergovernmental Panel on Climate Change (IPCC)",1988,"Organization",,"The IPCC was established by the World Meteorological Organization (WMO) and the United Nations Environment Programme (UNEP) to provide scientific support for international climate negotiations.","The scientific support is provided by the Intergovernmental Panel on Climate Change (IPCC), created in 1988 by the WMO and UNEP."
"Publication of the First IPCC Assessment Report",1990,"Publication",,"The IPCC released its first assessment report presenting scientific evidence on the causes and impacts of climate change.","It produced its first assessment report on the science of climate change in 1990"
"Publication of the Second IPCC Assessment Report",1995,"Publication",,"The second assessment report concluded that the balance of evidence suggests a discernible human influence on global climate.","The IPCC's second assessment report, published in 1995, concluded that 'the balance of evidence suggests a discernible human influence on global climate'."
"Publication of the Fourth IPCC Assessment Report",2007,"Publication",,"The fourth assessment report presented stronger evidence that most of the observed temperature increase since the mid‑20th century is very likely due to anthropogenic greenhouse‑gas concentrations.","By the fourth assessment report (2007), the IPCC's conclusions were more strongly worded: "Most of the observed increase in globally averaged temperatures since the mid-20th century is very likely due to the observed increase in anthropogenic (human) greenhouse gas concentrations.""
"Award of the Nobel Peace Prize to the IPCC",2007,"Award",,"The IPCC received the Nobel Peace Prize for its efforts to lay the foundations for measures needed to counteract climate change.","In 2007, the IPCC was awarded the Nobel Peace Prize for its 'efforts to lay the foundations for measures that are needed to counteract climate change'."
"Adoption of the United Nations Framework Convention on Climate Change (UNFCCC)",1992,"Policy",,"Countries adopted the UNFCCC, establishing a global framework for negotiating protocols to limit greenhouse‑gas emissions.","After the first IPCC assessment report, countries acted quickly to adopt the UNFCCC in 1992."
"Entry into force of the UNFCCC",1994,"Policy",,"The UNFCCC became legally binding after ratification by a large number of countries, including the United States.","and entered into force in 1994."
"Establishment of the Kyoto Protocol at COP 3",1997,"Conference",,"During the third Conference of the Parties (COP 3), parties adopted the Kyoto Protocol, setting mandatory emissions‑reduction targets for developed countries to be achieved by 2008‑2012.","COP 3 in 1997 established the Kyoto Protocol to create mandatory emissions‑reduction targets for specific developed countries to be achieved by 2008‑12."
"Annual Conferences of the Parties (COP) under the UNFCCC",None,"Process",,"Since 1995, signatory countries have met each year at the Conferences of the Parties (COP) to negotiate and refine the UNFCCC treaty.","From 1995 onwards, all signatories of the UNFCCC have met at annual Conferences of the Parties (COP) to further refine the treaty."
"COP 13 in Bali",None,"Conference",,"The 13th Conference of the Parties (COP13) to the UNFCCC was held in Bali, Indonesia, focusing on laying foundations for a new climate agreement.","COP 13 in Bali, Indonesia"
"COP 14 in Poznan",None,"Conference",,"The 14th Conference of the Parties (COP14) to the UNFCCC took place in Poznan, Poland, continuing negotiations toward a successor to the Kyoto Protocol.","COP 14 in Poznan, Poland"
"COP 15 in Copenhagen",2009,"Conference",,"The 15th Conference of the Parties (COP15) was held in Copenhagen, Denmark in December 2009. It attracted 10,500 delegates, 13,500 observers and 3,000 media representatives, and produced the Copenhage...","When COP 15 took place in December 2009, it had all the characteristics of an environmental 'mega conference'. A total of 10,500 delegates, 13,500 observers and 3000 media representatives attended COP 15, while 120 of the world's leaders were scheduled to arrive in time for a final agreement. ... Th..."
"COP 16 in Cancun",2010,"Conference",,"The 16th Conference of the Parties (COP16) convened in early December 2010 in Cancun, Mexico, where parties agreed principles for monitoring, reporting and verification of emissions and established th...","In early December 2010, the international community convened at COP 16 in Cancun, Mexico. Negotiations were constructive and dealt with some of the issues COP 15 had not resolved. Countries agreed principles for monitoring, reporting and verification of emissions, and established a Green Climate Fun..."
"COP 17 in Durban",2011,"Conference",,"The 17th Conference of the Parties (COP17) was scheduled for Durban, South Africa in 2011, aiming to achieve a more comprehensive climate agreement following the outcomes of COP16.","aim of a more comprehensive agreement at COP 17 in Durban, South Africa in 2011."
"First International Summit on the Human Environment (Stockholm Conference)",1972,"Conference",,"The inaugural global summit that addressed human‑environment issues, marking the start of modern global environmental governance.","first international summit to address human environment issues in 1972"
"Publication of *Silent Spring*",1962,"Publication",,"Rachel Carson’s landmark book that brought scientific evidence of environmental harm to public attention and became a catalyst for modern environmental movements.","Since the publication of Rachel Carson's Silent Spring (1962)"
"2012 United Nations Conference on Sustainable Development (Rio+20 / Earth Summit)",2012,"Summit",,"A major UN summit convened to review progress since the 1972 Stockholm Conference and to set new agendas for sustainable development, occurring amid a global economic downturn and shifting geopolitica...","preparation for the 2012 Earth Summit (Stockholm +40, Rio +20)"
"Growing public appeal of ecological philosophy",1960,"Process",,"The ecological philosophy articulated by Aldo Leopold, emphasizing harmony between humans and the biotic community, began to gain wider public appeal starting in the late 1960s, driven by major social...","This philosophy gained wider appeal from the late 1960s as momentous changes in social, economic and political conditions combined with rapid and visible changes in the state of the environment."
"Publication of Hunt and Bischoff paper ""Inimical Effects on Wildlife of Periodic DDD Applications to Clear Lake""",1960,"Publication",,"Hunt and Bischoff published a scientific paper documenting the impact of the insecticide DDD on wildlife in Clear Lake, showing bioaccumulation up the food chain and a dramatic decline in grebe popula...","In 1960, Hunt and Bischoff published a paper entitled 'Inimical Effects on Wildlife of Periodic DDD Applications to Clear Lake'. It investigated the impact of dichlorodiphenyldichloroethane (DDD)... The population of grebes at Clear Lake fell from over 1000 pairs to approximately thirty in 1960."
"Publication of Rachel Carson’s book *Silent Spring*",1962,"Publication",,"Rachel Carson’s seminal book, which synthesized scientific evidence on the widespread use of pesticides (especially DDT) and their ecological impacts, was first serialized in *The New Yorker* and then...","The completed work was first serialised in the New Yorker and then published in book form as Silent Spring in 1962. In the USA, Silent Spring was a popular science phenomenon - almost a million copies were sold in its first two years."
"Increase in domestic production of synthetic pesticides in the United States",None,"Process",,"During the post‑World War II period, the United States saw a rapid expansion of synthetic pesticide manufacturing, with domestic output rising more than fivefold between 1947 and 1960.","In the USA, scientists challenged indiscriminate aerial spraying, but between 1947 and 1960 domestic production of synthetic pesticides increased more than fivefold."
"Billboard advertising campaign ""Ecology? Look it up! You're involved"" in Vancouver",1969,"Other",,"Billboard adverts promoting ecology as a revolutionary idea were displayed across Vancouver; the campaign was funded by journalist Ben Metcalfe.","In 1969, billboard adverts appeared across Vancouver with the message 'Ecology? Look it up! You're involved'. Ben Metcalfe (1919-2003), a journalist who later became the first chairman of Greenpeace, paid for the posters as he wanted to promote ecology as a revolutionary idea."
"Launch of The Ecologist magazine (first edition)",1970,"Publication",,"Edward Goldsmith published the first edition of a new UK‑based magazine, The Ecologist, intended as a platform for environmental thinking.","The following year, Edward Goldsmith (1928-2009) published the first edition of a new magazine called The Ecologist as a platform for environmental thinking in the UK."
"Publication of ""A Blueprint for Survival"" in The Ecologist",1972,"Publication",,"The Ecologist magazine published Goldsmith's manifesto "A Blueprint for Survival", which called for societal change and sold 750,000 paperback copies.","The magazine reached a wide audience in 1972 when it published Goldsmith's 'A Blueprint for Survival', a manifesto for societal change that was endorsed by scientists and academics and went on to sell 750,000 copies as a paperback book."
"Publication of Murray Bookchin's ""Post‑Scarcity Anarchism""",1970,"Publication",,"Murray Bookchin released a book that combined anarchist political philosophy with ecology, articulating a radical ecological perspective.","Murray Bookchin (1921-2006) developed a more politically revolutionary approach, in which he combined anarchist political philosophy with ecology in books such as Post-Scarcity Anarchism (1970)."
"Creation of environmental protection agencies",None,"Process",,"Governments began establishing environmental protection agencies throughout the 1970s, reflecting a managerial approach to environmentalism.","The creation of environmental protection agencies from the 1970s onwards reflected this managerial approach to environmentalism."
"Establishment of the UK Royal Commission for Environmental Pollution",1970,"Organization",,"The UK government set up the Royal Commission for Environmental Pollution in 1970 to address growing public concern about harmful environmental pollution.","It was not until 1970 that the UK government set up the Royal Commission for Environmental Pollution..."
"Establishment of the UK Department for the Environment",1970,"Organization",,"In 1970 the UK government created the Department for the Environment, a new agency focused on environmental rather than economic concerns.","It was not until 1970 that the UK government set up ... a Department for the Environment..."
"Establishment of the US Environmental Protection Agency",1970,"Organization",,"The US administration established the Environmental Protection Agency in 1970 to address public concerns about environmental pollution.","It was not until 1970 that ... the US administration established the US Environmental Protection Agency."
"Development of the Gaia hypothesis",None,"Process",,"James Lovelock developed the Gaia hypothesis during the 1970s, proposing that Earth functions as a single living system that regulates its environment to perpetuate life.","James Lovelock (b. 1919) introduced a scientific twist to the biocentric approach to environmentalism when he developed his Gaia hypothesis during the 1970s."
"Nimbus Earth observation satellite program",None,"Process",,"From 1964 onwards, a series of Nimbus Earth observation satellites enabled remote sensing of the atmosphere, land surface, oceans and ecosystems, providing data for environmental monitoring.","From 1964 onwards, a series of Nimbus Earth observation satellites enabled remote sensing of the atmosphere, land surface, oceans and ecosystems."
"UN endorsement of global atmospheric research programmes",None,"Process",,"Starting in the late 1960s, the United Nations system endorsed and supported global collaboration and research programmes such as the Global Atmospheric Research Programme (GARP) and the Global Enviro...","Starting in the late 1960s, the UN system endorsed and supported global collaboration and research programmes such as the Global Atmospheric Research Programme (GARP) and the Global Environment Monitoring System (GEMS)."
"Adoption of the Convention on Biological Diversity (CBD)",1992,"Policy",,"International momentum led to the adoption of the Convention on Biological Diversity, formalising global commitments to biodiversity conservation.","by 1992 international momentum led to the adoption of the CBD."
"Establishment of the World Climate Research Programme",1980,"Organization",,"The first World Climate Research Programme was created to coordinate global climate research efforts.","the first World Climate Research Programme was established in 1980."
"Publication of the first high‑profile climate change study",1986,"Publication",,"The first high‑profile scientific study projecting future global climate change was published.","The first high-profile study of what might happen to the global climate over time was published in 198615."
"Formation of the Intergovernmental Panel on Climate Change (IPCC)",1987,"Organization",,"The IPCC was created to assess scientific information related to climate change and provide policy‑relevant guidance.","the IPCC was formed a year later."
"1992 Rio Earth Summit (United Nations Conference on Environment and Development)",1992,"Conference",,"A landmark UN conference where biodiversity and climate change secured global political attention, leading to the CBD and UNFCCC.","Biodiversity together with climate change secured global attention at the 1992 Rio Earth Summit through the CBD and the UNFCCC."
"Publication of the 2010 Global Biodiversity Outlook",2010,"Publication",,"The Global Biodiversity Outlook report evaluated progress toward the 2002 biodiversity target and highlighted missed goals.","The 2010 Global Biodiversity Outlook found that the target established in 2002 to achieve a significant reduction in the rate of biodiversity loss by 2010 had not been met."
"Publication of IUCN Red Data Books",None,"Process",,"Starting in 1966, the International Union for Conservation of Nature began publishing Red Data Books documenting threatened species worldwide.","From 1966 onwards, the International Union for Conservation of Nature (IUCN) published Red Data Books of threatened species in need of conservation attention"
"Publication of ""Air and Rain""",1872,"Publication",,"Robert Angus Smith, Britain’s first official air‑pollution inspector, published his book *Air and Rain* describing the concentration of sulphuric acid in rain near industrial Manchester and its harmfu...","Robert Angus Smith (1817-84), Britain's first official air-pollution inspector, monitored the concentration of sulphuric acid in rain near to industrial Manchester and described its effects in his book Air and Rain (1872):"
"Great London Smog",1952,"Other",,"A severe smog episode over London that made air pollution highly visible, triggering public demand for action on smoke pollution and a government‑backed enquiry.","in the UK highly visible pollution events such as the 1952 great London smog brought about public demand for action on smoke pollution and a government-backed enquiry."
"Publication of the Beaver Committee Report",1954,"Publication",,"The Beaver Committee Report concluded that levels of air pollution could no longer be tolerated and highlighted sulphur dioxide as a particularly harmful pollutant.","The resulting Beaver Committee Report (1954) concluded that levels of air pollution could no longer be tolerated but also observed that 'sulphur dioxide is one of the most harmful of all polluting agents'."
"Adoption of the Clean Air Act (UK)",1956,"Policy",,"The UK government passed the Clean Air Act, establishing smokeless zones and encouraging the use of smokeless fuels to reduce air‑pollution impacts.","The UK government responded by passing the 1956 Clean Air Act, which established smokeless zones and encouraged the burning of smokeless fuels."
"Stockholm United Nations Conference on the Human Environment (UNCHÉ)",1972,"Conference",,"Sweden hosted the 1972 UNCHÉ in Stockholm, during which the United Kingdom was singled out for criticism over transboundary air‑pollution.","It repeated the accusation as host of the 1972 Stockholm UNCHE (see Chapter 3) at which the UK in particular was singled out for criticism."
"OECD Five‑Year Study on Acid Rain",None,"Process",,"A five‑year research programme (1972‑1977) coordinated by the Organisation for Economic Co‑operation and Development, involving eleven European countries (including the UK and Sweden), which identifie...","This prompted a five-year study into acid rain by the Organisation for Economic Co-operation and Development (OECD), in which eleven European countries, including the UK and Sweden, participated (1972-77)."
"British government acceptance of link between British air pollution and Scandinavian acid rain",1986,"Policy",,"The British government formally recognized that emissions from Britain were contributing to acid rain affecting Scandinavia.","It was not until 1986 that the British government finally accepted the link between British air pollution and Scandinavian acid rain."
"Signing of air quality accord between Canada and the United States",1991,"Policy",,"Canada and the United States signed an air‑quality agreement in 1991 following a change in the U.S. presidential administration.","An air quality accord between Canada and the USA was signed in 1991 after a change in administration from President Ronald Reagan (1981-89) to President George H. Bush (b. 1924)."
"Development of genetically modified (GM) food",1990s,"Process",,"From the 1990s onward, the development of GM food emerged as a new focus for debates over scientific evidence and the burden of proof in environmental and food safety policy.","From the 1990s onwards, the development of GM food offered a different focus on the burden of proof."
"End of European moratorium on approving commercial growing of GM crops",2010,"Policy",,"The European moratorium that prohibited approval of commercial GM crop cultivation ended, allowing individual nations to decide whether to maintain restrictions.","The European moratorium on approving the commercial growing of GM crops came to an end in 2010, but individual nations are still able to decide to keep it in place."
